Full,Name,Nvel,Type,Dist_Mpc,f_,i_deg,L3.6_GLsun,Reff_kpc,SBeff_Lsun/pc2,Rdisk_kpc,SBdisk_Lsun/pc2,MHI_GMsun,RHI_kpc,Vflat_km/s,Qual,L16a,L16b,S4G,EDD,RC,SimbadName,NEDname,_RA_deg,_DE_deg
126,UGC05829,11,10,8.64,1,34.0,0.564,2.91,10.59,1.99,63.22,1.023,7.87,0.0,2,0,1,1,0,RC,UGC05829,UGC05829,160.67828,34.44928
127,UGC05918,8,10,7.66,1,46.0,0.233,2.63,5.36,1.66,24.94,0.297,5.9,0.0,2,0,1,1,0,RC,UGC05918,UGC05918,162.40172,65.53363
130,UGC06399,9,9,18.0,4,75.0,2.296,3.45,30.82,2.05,311.05,0.674,8.8,85.0,1,1,1,1,0,RC,UGC06399,UGC06399,170.84677,50.89268
131,UGC06446,17,7,12.0,1,51.0,0.988,2.06,37.05,1.49,86.46,1.379,10.33,82.2,1,1,1,1,0,RC,UGC06446,UGC06446,171.66854,53.74667
132,UGC06614,13,1,88.7,1,36.0,124.35,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,1,1,1,0,0,RC,UGC06614,UGC06614,174.81185,17.14358
135,UGC06786,45,0,29.3,1,64.0,73.407,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,1,1,1,0,0,RC,UGC06786,UGC06786,177.28931,27.02207
136,UGC06787,71,2,21.3,1,66.0,98.256,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,2,1,1,0,0,RC,UGC06787,UGC06787,177.31404,56.08435
137,UGC06818,8,9,18.0,4,75.0,1.588,2.12,56.08,1.39,286.31,1.079,6.96,71.2,2,1,1,1,0,RC,UGC06818,UGC06818,177.69564,45.8072
138,UGC06917,11,9,18.0,4,56.0,6.832,4.52,53.07,2.76,261.11,2.023,12.67,108.7,1,1,1,1,0,RC,UGC06917,UGC06917,179.11989,50.42839
139,UGC06923,6,10,18.0,4,65.0,2.89,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2,1,1,0,0,RC,UGC06923,UGC06923,179.20636,53.16034
